YMDH,PM10,PM2.5,O3,SO2,CO,NO2
2021-06-07:24,37,29,0.040,0.018,0.4,0.003
2021-06-07:23,42,32,0.038,0.022,0.4,0.002
2021-06-07:22,45,22,0.037,0.028,0.5,0.002
2021-06-07:21,40,21,0.062,0.016,0.4,0.002
2021-06-07:20,46,26,0.060,0.020,0.4,0.003
2021-06-07:19,51,28,0.078,0.014,0.4,0.003
2021-06-07:18,45,23,0.083,0.011,0.4,0.003
2021-06-07:17,33,22,0.081,0.010,0.4,0.003
2021-06-07:16,28,24,0.074,0.009,0.4,0.003
2021-06-07:15,,18,,,,
2021-06-07:14,26,19,0.063,0.006,0.4,0.003
2021-06-07:13,30,16,0.062,0.004,0.4,0.003
2021-06-07:12,33,15,0.062,0.005,0.4,0.003
2021-06-07:11,44,17,0.061,0.007,0.4,0.003
2021-06-07:10,49,31,0.053,0.013,0.4,0.003
2021-06-07:09,44,31,0.029,0.024,0.5,0.003
2021-06-07:08,30,28,0.019,0.027,0.5,0.003
2021-06-07:07,35,26,0.019,0.022,0.4,0.003
2021-06-07:06,37,28,0.024,0.015,0.4,0.003
2021-06-07:05,35,28,0.035,0.009,0.4,0.003
2021-06-07:04,40,29,0.039,0.006,0.4,0.003
2021-06-07:03,40,33,0.044,0.006,0.4,0.003
2021-06-07:02,36,28,0.042,0.007,0.4,0.003
2021-06-07:01,34,22,0.041,0.010,0.4,0.003
2021-06-06:24,38,17,0.056,0.007,0.4,0.004
2021-06-06:23,31,21,0.059,0.007,0.4,0.004
2021-06-06:22,41,22,0.062,0.007,0.4,0.004
2021-06-06:21,36,22,0.064,0.008,0.4,0.004
2021-06-06:20,40,19,0.068,0.007,0.4,0.004
2021-06-06:19,41,19,0.071,0.007,0.4,0.004
2021-06-06:18,36,8,0.074,0.006,0.4,0.004
2021-06-06:17,42,21,0.075,0.005,0.4,0.003
2021-06-06:16,45,27,0.074,0.005,0.4,0.003
2021-06-06:15,37,22,0.073,0.004,0.4,0.003
2021-06-06:14,36,18,0.072,0.004,0.4,0.003
2021-06-06:13,38,20,0.070,0.004,0.4,0.003
2021-06-06:12,46,21,0.068,0.004,0.4,0.003
2021-06-06:11,42,20,0.065,0.004,0.4,0.003
2021-06-06:10,45,29,0.060,0.005,0.4,0.003
2021-06-06:09,45,21,0.053,0.007,0.5,0.003
2021-06-06:08,59,25,0.049,0.011,0.5,0.004
2021-06-06:07,56,30,0.038,0.013,0.6,0.003
2021-06-06:06,68,31,0.047,0.009,0.6,0.003
2021-06-06:05,70,35,0.055,0.005,0.6,0.003
2021-06-06:04,67,39,0.064,0.005,0.6,0.004
2021-06-06:03,74,42,0.067,0.005,0.6,0.004
2021-06-06:02,79,44,0.072,0.005,0.6,0.004
2021-06-06:01,83,37,0.077,0.005,0.6,0.004
2021-06-05:24,88,41,0.079,0.006,0.6,0.004
2021-06-05:23,84,47,0.080,0.007,0.6,0.004
2021-06-05:22,86,42,0.074,0.009,0.6,0.003
2021-06-05:21,80,43,0.075,0.009,0.6,0.003
2021-06-05:20,80,44,0.076,0.009,0.6,0.003
2021-06-05:19,77,50,0.079,0.009,0.6,0.003
2021-06-05:18,83,42,0.080,0.008,0.6,0.003
2021-06-05:17,78,40,0.081,0.008,0.5,0.003
2021-06-05:16,78,44,0.079,0.008,0.5,0.003
2021-06-05:15,81,42,0.078,0.008,0.5,0.003
2021-06-05:14,74,42,0.076,0.008,0.5,0.003
2021-06-05:13,68,39,0.073,0.008,0.5,0.003
2021-06-05:12,67,44,0.069,0.008,0.5,0.003
2021-06-05:11,54,44,0.071,0.007,0.5,0.003
2021-06-05:10,41,34,0.068,0.007,0.5,0.003
2021-06-05:09,36,22,0.054,0.009,0.5,0.002
2021-06-05:08,32,21,0.050,0.008,0.4,0.002
2021-06-05:07,19,11,0.040,0.015,0.4,0.002
2021-06-05:06,14,10,0.044,0.008,0.4,0.002
2021-06-05:05,15,11,0.043,0.006,0.4,0.002
2021-06-05:04,20,6,0.050,0.004,0.4,0.003
2021-06-05:03,26,11,0.053,0.003,0.3,0.002
2021-06-05:02,30,8,0.056,0.004,0.4,0.003
2021-06-05:01,30,10,0.056,0.005,0.4,0.003
2021-06-04:24,27,20,0.056,0.005,0.4,0.003
2021-06-04:23,32,21,0.054,0.008,0.4,0.003
2021-06-04:22,26,15,0.055,0.008,0.4,0.003
2021-06-04:21,21,5,0.053,0.010,0.4,0.003
2021-06-04:20,23,6,0.055,0.008,0.4,0.002
2021-06-04:19,18,15,0.058,0.008,0.3,0.003
2021-06-04:18,19,10,0.057,0.008,0.3,0.003
2021-06-04:17,19,11,0.057,0.006,0.3,0.003
2021-06-04:16,20,12,0.057,0.006,0.3,0.002
2021-06-04:15,16,14,0.057,0.006,0.3,0.002
2021-06-04:14,18,14,0.056,0.005,0.3,0.002
2021-06-04:13,23,11,0.054,0.006,0.3,0.002
2021-06-04:12,13,8,0.048,0.005,0.3,0.002
2021-06-04:11,22,4,0.043,0.006,0.3,0.002
2021-06-04:10,17,4,0.032,0.011,0.3,0.002
2021-06-04:09,25,8,0.026,0.014,0.4,0.002
2021-06-04:08,18,7,0.021,0.017,0.4,0.002
2021-06-04:07,20,8,0.021,0.016,0.4,0.002
2021-06-04:06,16,3,0.026,0.011,0.3,0.002
2021-06-04:05,17,2,0.034,0.008,0.3,0.002
2021-06-04:04,20,2,0.039,0.007,0.3,0.002
2021-06-04:03,14,1,0.041,0.005,0.3,0.002
2021-06-04:02,8,3,0.041,0.005,0.3,0.002
2021-06-04:01,,9,0.035,0.007,0.3,0.002
2021-06-03:24,,3,0.027,0.012,0.4,0.002
2021-06-03:23,3,2,0.025,0.012,0.4,0.002
2021-06-03:22,3,,0.025,0.012,0.4,0.002
2021-06-03:21,3,,0.026,0.013,0.4,0.002
2021-06-03:20,3,,0.021,0.015,0.4,0.002
2021-06-03:19,3,,0.022,0.017,0.4,0.002
2021-06-03:18,3,,0.025,0.013,0.4,0.002
2021-06-03:17,6,,0.029,0.008,0.4,0.002
2021-06-03:16,6,,0.030,0.008,0.4,0.002
2021-06-03:15,15,,0.030,0.007,0.4,0.003
2021-06-03:14,23,20,0.029,0.009,0.4,0.002
2021-06-03:13,37,27,0.032,0.008,0.4,0.002
2021-06-03:12,37,21,0.030,0.010,0.4,0.003
2021-06-03:11,,22,,,,
2021-06-03:10,36,18,0.036,0.014,0.4,0.005
2021-06-03:09,32,22,0.033,0.015,0.4,0.004
2021-06-03:08,32,18,0.032,0.015,0.4,0.004
2021-06-03:07,29,19,0.033,0.014,0.4,0.004
2021-06-03:06,32,21,0.037,0.011,0.4,0.004
2021-06-03:05,35,18,0.030,0.013,0.4,0.004
2021-06-03:04,38,23,0.042,0.007,0.4,0.004
2021-06-03:03,39,24,0.047,0.008,0.4,0.004
2021-06-03:02,40,31,0.042,0.012,0.4,0.004
2021-06-03:01,43,24,0.040,0.013,0.4,0.004
2021-06-02:24,41,24,0.051,0.009,0.4,0.004
2021-06-02:23,44,31,0.056,0.008,0.4,0.004
2021-06-02:22,45,27,0.059,0.011,0.4,0.004
2021-06-02:21,45,20,0.063,0.011,0.4,0.005
2021-06-02:20,41,22,0.067,0.013,0.4,0.005
2021-06-02:19,51,23,0.073,0.010,0.4,0.005
2021-06-02:18,51,25,0.079,0.009,0.4,0.005
2021-06-02:17,41,22,0.080,0.007,0.4,0.005
2021-06-02:16,44,23,0.076,0.006,0.4,0.004
2021-06-02:15,44,23,0.075,0.006,0.4,0.004
2021-06-02:14,47,20,0.075,0.005,0.4,0.004
2021-06-02:13,50,24,0.075,0.005,0.4,0.004
2021-06-02:12,47,29,0.071,0.005,0.4,0.004
2021-06-02:11,41,33,0.063,0.009,0.4,0.004
2021-06-02:10,43,32,0.044,0.011,0.4,0.004
2021-06-02:09,47,31,0.035,0.017,0.4,0.004
2021-06-02:08,37,29,0.028,0.021,0.4,0.004
2021-06-02:07,35,32,0.029,0.015,0.4,0.004
2021-06-02:06,35,23,0.020,0.018,0.4,0.004
2021-06-02:05,30,29,0.029,0.013,0.4,0.004
2021-06-02:04,34,33,0.028,0.013,0.4,0.003
2021-06-02:03,37,35,0.026,0.018,0.4,0.004
2021-06-02:02,36,29,0.026,0.020,0.4,0.004
2021-06-02:01,42,24,0.034,0.016,0.4,0.004
2021-06-01:24,39,26,0.043,0.013,0.4,0.004
2021-06-01:23,42,27,0.043,0.014,0.4,0.004
2021-06-01:22,35,29,0.045,0.014,0.4,0.004
2021-06-01:21,33,22,0.046,0.014,0.4,0.004
2021-06-01:20,31,22,0.057,0.010,0.4,0.004
2021-06-01:19,41,22,0.061,0.009,0.4,0.004
2021-06-01:18,37,16,0.066,0.009,0.4,0.004
2021-06-01:17,40,17,0.069,0.006,0.3,0.006
2021-06-01:16,40,19,0.069,0.006,0.4,0.006
2021-06-01:15,45,17,0.072,0.006,0.4,0.006
2021-06-01:14,42,22,0.072,0.007,0.4,0.005
2021-06-01:13,48,23,0.068,0.005,0.4,0.004
2021-06-01:12,44,27,0.063,0.008,0.4,0.004
2021-06-01:11,30,21,0.055,0.007,0.4,0.004
2021-06-01:10,38,12,0.045,0.007,0.4,0.004
2021-06-01:09,40,24,0.032,0.015,0.5,0.004
2021-06-01:08,38,20,0.033,0.013,0.4,0.004
