연번,기관명,설립구분,주소,홈페이지
1,건양대학교(대전캠퍼스),사립,대전광역시 서구 관저동로 158,https://www.konyang.ac.kr/kor.do#popup
2,대전대학교,사립,대전광역시 동구 대학로 62,http://www.dju.ac.kr/kor/html/intro3.htm
3,대전신학대학교,사립,대전광역시 대덕구 한남로 41,https://www.daejeon.ac.kr/
4,목원대학교,사립,대전광역시 서구 도안북로 88,http://www.mokwon.ac.kr/
5,배재대학교,사립,대전광역시 서구 배재로 155-40,http://www.pcu.ac.kr/uis/index.html
6,우송대학교,사립,대전광역시 동구 동대전로 171,https://www.wsu.ac.kr/main/intro.jsp
7,을지대학교(본교),사립,대전광역시 중구 계룡로 771번길 77,http://www.eulji.ac.kr/
8,충남대학교,국립,대전광역시 유성구 대학로 99,http://plus.cnu.ac.kr/html/kr/intro.html
9,침례신학대학교,사립,대전광역시 유성구 북유성대로 190,http://www.kbtus.ac.kr/
10,한국과학기술원,정부출연,대전광역시 유성구 대학로 291,http://www.kaist.ac.kr/kr/
11,한남대학교,사립,대전광역시 대덕구 한남로 70,http://www.hannam.ac.kr/
12,한밭대학교,국립,대전광역시 유성구 동서대로 125,http://www.hanbat.ac.kr/
13,대덕대학교,사립,대전광역시 유성구 가정북로 68,http://www.ddu.ac.kr/msi/intro.do
14,대전보건대학교,사립,대전광역시 동구 충정로 21,http://www.hit.ac.kr/hit_new/html/kor/index.html
15,우송정보대학,사립,대전광역시 동구 동대전로 171,https://www.wsi.ac.kr/main/index.jsp
16,대전과학기술대학교,사립,대전광역시 서구 혜천로 100,http://www.dst.ac.kr/
17,한국폴리텍IV대학 대전캠퍼스(본교),사립,대전광역시 동구 우암로 352-21,http://www.kopo.ac.kr/daejeon/index.do
18,과학기술연합대학원대학교,정부출원,대전광역시 유성구 가정로 217,https://www.ust.ac.kr/kor.do
19,건신대학원대학교,사립,대전광역시 중구 동서대로 1327번길 40,https://www.alu.ac.kr/
20,건양사이버대학교,사립,대전광역시 서구 관저동로 158,https://www.kycu.ac.kr/
21,한국방송통신대학교 대전충남지역대학,국립,대전광역시 유성구 오룡1길 112,https://wdaejeon.knou.ac.kr/EHPMain.jsp
