번호,대여소명,거치대,구,주소,위도,경도,구역,인터넷,CCTV,거치대,구조
1,무역전시관입구(택시승강장),14,유성구,도룡동 3-8,36.37458,127.386131,1구역,,1,평면,일자형
2,대전컨벤션센터,20,유성구,도룡동 4-19,36.374389,127.392375,1구역,,2,평면,일자형
3,한밭수목원1,19,서구,만년동 396,36.369084,127.388451,1구역,,2,평면,일자형
4,초원아파트(104동 버스정류장),12,서구,만년동 401,36.367945,127.379302,2구역,,2,평면,일자형
5,둔산대공원 입구(버스정류장),13,서구,둔산2동 1521-10,36.364974,127.388856,1구역,,2,평면,일자형
6,백합네거리(농협),12,서구,월평2동 266,36.362315,127.376427,2구역,,,평면,일자형
7,정부청사 입구(대덕대로),13,서구,둔산2동 920-2,36.362053,127.379704,1구역,,,평면,일자형
8,정부청사 입구(샘머리),12,서구,둔산2동 1518,36.361949,127.390433,1구역,,2,평면,일자형
9,황실아파트(성룡초등학교),12,서구,월평2동 304,36.361655,127.374179,2구역,,2,평면,일자형
10,만년동 KBS 부근(기업은행),12,서구,만년동 300,36.368632,127.379747,1구역,,,평면,일자형
11,누리아파트(후문 버스정류장),12,서구,월평3동 301,36.358899,127.374157,2구역,,,평면,일자형
12,정부청사역 4번출구,13,서구,둔산2동 949-1,36.357932,127.38155,1구역,,1,평면,일자형
13,삼천중학교(정문 맞은편),12,서구,둔산2동 911,36.3588,127.395412,1구역,,2,평면,일자형
14,둔산 하이마트,20,서구,둔산2동 962,36.355534,127.379146,2구역,,,평면,일자형
15,둔산 홈플러스(법원 버스정류장),13,서구,둔산1동 1380-5,36.355418,127.390085,1구역,,2,평면,일자형
16,국화아파트(501동),12,서구,둔산3동 1386,36.353836,127.39524,1구역,,,평면,일자형
17,타임월드,20,서구,둔산2동 1036,36.352078,127.37876,2구역,,1,평면,일자형
18,대전시청,17,서구,둔산1동 1420,36.351105,127.384575,1구역,,2,평면,일자형
19,현대아이텔(시청역 6번출구),13,서구,둔산1동 1457,36.351356,127.387547,1구역,,1,평면,일자형
20,크로바아파트(정문 맞은편),12,서구,둔산1동 1554-1,36.351114,127.391753,1구역,,2,평면,일자형
21,카이스트 학사식당,28,유성구,어은동 44,36.373569,127.359803,2구역,,,평면,일자형
22,카이스트 창의학습관,28,유성구,구성동 23,36.370226,127.36215,2구역,,,평면,일자형
23,카이스트 정문,14,유성구,구성동 284-4,36.36617,127.363896,2구역,,,평면,일자형
24,화폐박물관,12,유성구,가정동 35,36.376804,127.371004,2구역,,,평면,일자형
25,카이스트 후문,13,유성구,구성동 145,36.374511,127.366894,2구역,,,평면,일자형
26,엑스포과학공원 주차장,13,유성구,가정동 39-2,36.37693,127.37875,2구역,,,평면,일자형
27,엑스포과학공원,13,유성구,도룡동 3-1,36.377146,127.379383,2구역,,,평면,일자형
