연번,도로명,시 점,종 점,허용구분,연장(km),허용시간 (주말-공휴일),허용일자,비고
1,계룡로,오성빌딩,충대병원4가,편측,0.2,06:00~24:00,2009-12-17,체육
2,유등천동로,유등교,파라곤(아)앞,편측,0.4,06:00~24:00,2009-12-17,체육
3,대종로,충무4가,부사4가,편측,0.15,06:00~24:00,2009-12-17,체육
4,보문산로,버드네교,산성4가,편측,0.1,06:00~15:00,2009-12-17,복지관
5,공원 진출입로,세천공원 입구,식장산 3가,편측,0.25,06:00~24:00,2009-12-17,공원
6,공원 진출입로,식장산 3가,세천공원 입구,편측,0.25,06:00~24:00,2009-12-17,공원
7,동부 순환도로,한영식당,용운터널,편측,0.19,06:00~24:00,2009-12-17,체육
8,동서로,용전4가,SK주유소,편측,0.1,06:00~15:00,2009-12-17,종교
9,신선1길,선암초교,관저2주민센터,양측,0.2,06:00~24:00,2009-12-17,체육
10,관저3길,동방고3가,예비군훈련장4가,편측,1.1,06:00~15:00,2009-12-17,종교
11,갈마로,GS주유소,괴정육교 입구,편측,0.25,06:00~15:00,2009-12-17,종교
12,느리울3길,영광교회,진잠4가,편측,0.23,06:00~15:00,2009-12-17,종교
13,수련관길,청소년수련원정문,금성식당,편측,0.15,06:00~24:00,2009-12-17,체육
14,동춘당로,송촌동 배수입구 3가,스와트학원,편측,0.1,06:00~24:00,2009-12-17,체육
15,대덕대로,보건당약국,국민은행,편측,0.15,06:00~15:00,2009-12-17,종교
16,선사로,갑천3가,하나로(아) 112동 뒤,편측,0.3,06:00~24:00,2009-12-17,체육
17,갑천대로,갑천3가,하나로(아) 112동 뒤,편측,0.3,06:00~24:00,2009-12-17,체육
18,노은서길,노은교회,노은성당,편측,0.3,06:00~24:00,2009-12-17,종교
19,갑천대로,갑천3가,만년고3가,편측,0.3,06:00~15:00,2009-12-17,종교
20,대학로,유성구청,구성3가,편측,0.4,06:00~24:00,2009-12-17,체육
21,버드네길,세안(아)5동 맞은편,가장교,편측,0.24,07:00~20:00,2011-03-18,체육
22,버드네길,가장교,쌍용자동차서비스 프라자 맞은편,편측,0.26,07:00~20:00,2011-03-18,체육
23,동서로,용전4가,SK주유소,편측,0.1,해제,2022-09-20,종교
